id,securityId,currentPrice,vwap,high52w,low52w,beta,avgVolume,shortFloat,marketCap,peLtm,priceToTangBook,peNtm,priceToBook,debtToEbitda,eps,source,createdAt,updatedAt,bookValue,bookValuePerShare,cashAndEquivalents,dataQuality,dayChange,dayPctChange,ebitda,enterpriseValue,epsNtm,epsTtm,floatShares,fundamentalsAsOf,fundamentalsSource,grossProfit,lastFundamentalsRefreshAt,lastMarketDataRefreshAt,lastShortInterestRefreshAt,marketDataSource,netIncome,netIncomeTtm,operatingIncome,revenue,revenueTtm,shareholdersEquity,sharesOutstanding,shortInterestAsOf,shortInterestShares,shortInterestSource,snapshotAsOf,sourceDetailJson,tangibleBookValue,tangibleBookValuePerShare,totalAssets,totalDebt,totalLiabilities,volume
cmr3r6d9t005v14nzbzibb2bw,cmr3r6crw000414nzpievg7se,307.685,189.532,317.4,201.5,1.18,49013136.0,0.82,4519079130860.0,27.2046861184792,44.8602173145663,27.9,42.37942720305,0.356342640468804,6.12,FMP,1783011778482,1783018806882,106491000000.0,7.26024442297927,45572000000.0,CALCULATED,1.24,0.64,232080000000.0,4556207130860.0,6.48,11.31,174060000000.0,1538179200000,SEC_EDGAR,124012000000.0,1783018529100,1783011778481,,FMP,71675000000.0,166784000000.0,86737000000.0,265595000000.0,265595000000.0,106491000000.0,193400000000.0,1783011778481,12000000.0,MOCK,1783011778481,,100602000000.0,6.85874965434225,371082000000.0,82700000000.0,264591000000.0,58400000.0
cmr3r6da0005x14nz6kxrhrae,cmr3r6csd000514nzmp7w7kqw,390.77,374.36,555.45,349.2,1.18,26646908.0,0.82,2902807591100.0,12.3818124207858,9.85059798578923,27.9,7.00593997591507,0.0878315881326353,6.12,FMP,1783011778488,1783018814782,414367000000.0,55.7769551756629,32105000000.0,CALCULATED,1.24,0.64,458400000000.0,2910964591100.0,6.48,31.56,343800000000.0,1293753600000,SEC_EDGAR,164983000000.0,1783018534691,1783011778487,,FMP,97983000000.0,234424000000.0,114634000000.0,36148000000.0,86799000000.0,414367000000.0,382000000000.0,1783011778487,12000000.0,MOCK,1783011778487,,294706000000.0,39.6696729034863,694228000000.0,40262000000.0,279861000000.0,58400000.0
cmr3r6da7005z14nztnfh5ewf,cmr3r6csj000614nz7l2eegh4,193.47,892.29,236.54,157.34,1.18,90053771.0,0.82,4686036899567.0,24.3358490566038,26.9337546110666,27.9,24.0548353233678,0.00775215083287571,6.12,FMP,1783011778496,1783018815430,195474000000.0,8.04287360105332,13237000000.0,CALCULATED,1.24,0.64,1092600000000.0,4681269899567.0,6.48,7.95,819450000000.0,1777161600000,SEC_EDGAR,61157000000.0,1783018535633,1783011778495,,FMP,58321000000.0,193760000000.0,53536000000.0,81615000000.0,333175000000.0,195474000000.0,910500000000.0,1783011778495,12000000.0,MOCK,1783011778495,,174580000000.0,7.1831797235023,259474000000.0,8470000000.0,64000000000.0,58400000.0
cmr3r6dae006114nzygcx4znh,cmr3r6csp000714nz22tu7mmt,243.24,165.816,278.56,196.0,1.18,30561138.0,0.82,2616557004000.0,20.5786802030457,6.25094801237857,27.9,5.91925795516775,0.60397951142632,6.12,FMP,1783011778503,1783018809944,441914000000.0,41.092988655384,101816000000.0,CALCULATED,1.24,0.64,203040000000.0,2637373004000.0,6.48,11.82,152280000000.0,1530316800000,SEC_EDGAR,5531000000.0,1783018530130,1783011778502,,FMP,90798000000.0,198718000000.0,23852000000.0,103928000000.0,251600000000.0,441914000000.0,169200000000.0,1783011778502,12000000.0,MOCK,1783011778502,,418465000000.0,38.9124976752836,916630000000.0,122632000000.0,42300000000.0,58400000.0
cmr3r6dam006314nzajtcthxd,cmr3r6csu000814nz72dclcmo,781.5,765.87,953.43,562.68,1.18,58400000.0,0.82,781500000000.0,21.4756801319044,43.4166666666667,27.9,32.5625,0.0314288760929836,6.12,MOCK,1783011778510,1783018533737,31198000000.0,24.0,5282000000.0,CALCULATED,1.24,0.64,937800000000.0,805692000000.0,6.48,36.39,703350000000.0,1774915200000,SEC_EDGAR,140670000000.0,1783018533736,1783011778509,,MOCK,7396000000.0,32641300000.0,93780000000.0,19799000000.0,98844500000.0,31198000000.0,781500000000.0,1783011778509,12000000.0,MOCK,1783011778509,,25068000000.0,18.0,116576000000.0,29474000000.0,195375000000.0,58400000.0
cmr3r6das006514nzgveupnwa,cmr3r6ct1000914nz3pruz0kv,392.2,191.1,498.83,288.77,1.18,57979776.86783,0.82,1472993384000.0,210.860215053763,17.561752465448,27.9,17.5080959627182,0.0326709401709402,6.12,FMP,1783011778516,1783018817465,84116000000.0,22.4010652463382,16603000000.0,CALCULATED,1.24,0.64,234000000000.0,1464035384000.0,6.48,1.86,175500000000.0,1774915200000,SEC_EDGAR,4720000000.0,1783018538062,1783011778516,,FMP,477000000.0,5976000000.0,941000000.0,22387000000.0,142904000000.0,84116000000.0,195000000000.0,1783011778516,12000000.0,MOCK,1783011778516,,83859000000.0,22.3326231691079,143724000000.0,7645000000.0,58922000000.0,58400000.0
cmr3r6db3006714nzc6lil0qa,cmr3r6ct5000a14nzylnretr3,225.59,172.48,254.35,176.77,1.18,4155045.0,0.82,177833048180.0,-13.7387332521315,-19.6081053459394,27.9,38.1419734188759,0.222357954545455,6.12,FMP,1783011778527,1783018810271,5987000000.0,5.91448160069135,9441000000.0,CALCULATED,1.24,0.64,211200000000.0,215354048180.0,6.48,-16.42,158400000000.0,1774915200000,SEC_EDGAR,2546000000.0,1783018530642,1783011778526,,FMP,-4000000.0,-11937000000.0,448000000.0,22217000000.0,133751000000.0,5987000000.0,176000000000.0,1783011778526,12000000.0,MOCK,1783011778526,,-11646000000.0,-11.5049361485972,164787000000.0,46962000000.0,158800000000.0,58400000.0
cmr3r6db8006914nze9jhr053,cmr3r6cta000b14nz5z5mvko0,77.93,475.3,130.226,70.86,1.18,36820436.0,0.82,328147644000.0,2.24452764976958,10.5474153158234,27.9,10.5474153158234,0.035284766323024,6.12,FMP,1783011778533,1783018815105,31126399000.0,7.38854000402243,12259772000.0,CALCULATED,1.24,0.64,582000000000.0,336423606000.0,6.48,34.72,436500000000.0,1774915200000,SEC_EDGAR,2479282000.0,1783018535183,1783011778532,,FMP,5282791000.0,19517800000.0,3956997000.0,12249757000.0,67971504000.0,31126399000.0,485000000000.0,1783011778532,12000000.0,MOCK,1783011778532,,31126399000.0,7.38854000402243,61015914000.0,20535734000.0,29889515000.0,58400000.0
cmr3r6dbj006b14nzvjddrnhb,cmr3r6ctg000c14nzj1496j8o,514.67963,158.956,584.73,133.5,1.18,18949864.0,0.82,839236598914.0,132.308388174807,21.4460810087428,27.9,13.0142998495238,5.1376900945335e-06,6.12,FMP,1783011778543,1783018807244,64462000000.0,39.5472392638037,5585000000.0,CALCULATED,1.24,0.64,194640000000.0,833652598914.0,6.48,3.89,145980000000.0,1506729600000,SEC_EDGAR,5416000000.0,1783018529594,1783011778542,,FMP,1383000000.0,6322000000.0,1476000000.0,3913000000.0,8977000000.0,64462000000.0,162200000000.0,1783011778542,12000000.0,MOCK,1783011778542,,39118000000.0,23.998773006135,79642000000.0,1000000.0,40550000000.0,58400000.0
cmr3r6dbq006d14nzkhmccwxf,cmr3r6ctk000d14nzhermtyr9,120.56,69.972,182.19,94.0,1.18,3806819.773,0.82,156445250511.0,145.253012048193,6.69777777777778,27.9,5.02333333333333,0.00290616246498599,6.12,FMP,1783011778550,1783018816730,12501000000.0,24.0,1848000000.0,CALCULATED,1.24,0.64,85680000000.0,154846250511.0,6.48,0.83,64260000000.0,1774915200000,SEC_EDGAR,1546000000.0,1783018537192,1783011778549,,FMP,-581000000.0,1077000000.0,382000000.0,3170000000.0,16578000000.0,12501000000.0,71400000000.0,1783011778549,12000000.0,MOCK,1783011778549,,12010000000.0,18.0,14121000000.0,249000000.0,17850000000.0,58400000.0
